personId|month
28587302325121|10
26388279106950|10
21990232558884|4
21990232612384|8
4398046511395|2
17592186064293|4
28587302377449|4
21990232626318|8
8796093088408|12
31420|1
10995116299616|3
13194139583802|6
2199023290081|9
49580|11
30786325594162|3
32985348868604|1
6699|12
24189255881115|2
30786325627756|6
30786325649809|4
26388279123171|2
61434|9
15393162817422|7
26388279069780|5
26388279111347|5
21990232611274|11
10995116315277|11
21990232563347|1
24189255850033|11
15393162835849|2
21990232603850|3
19791209337900|6
28587302324631|8
30786325625583|7
26388279106421|2
6597069824578|12
19791209321377|10
6597069772370|8
28587302383640|12
12245|12
10995116330225|8
15393162823616|6
28587302323276|8
6597069815495|9
2199023305354|1
4398046544416|9
19791209331026|6
10995116328774|8
6597069804531|2
15393162836696|1
17592186070699|7
8796093031233|4
2199023293980|10
6597069806796|12
26388279101269|7
21990232561028|12
30786325600025|4
24189255822309|5
10995116310872|4
32985348890365|5
13194139537192|1
28587302351852|6
2199023276949|6
30786325578370|12
4398046541841|5
28587302324474|4
8796093035159|12
21990232565753|10
2199023298886|1
10995116319586|4
8796093055895|4
6597069799851|10
13194139604657|4
19791209321281|12
24189255871599|9
8796093092782|11
24189255883882|11
32985348863221|9
13194139561565|7
13194139549624|11
26388279106720|3
4398046515161|7
10995116349538|7
28587302330856|4
8796093040978|7
10995116342202|3
26388279135281|8
2199023295122|2
17592186090804|9
13194139562495|8
4398046583539|12
10995116298420|8
24189255853955|9
26388279136905|8
15393162822190|10
30786325605117|9
30786325609836|12
24189255879326|11
13194139589665|10
26388279078094|1
30786325592767|1
34577|10
6597069803120|11
8796093039130|3
15393162845806|11
15393162851465|1
25439|6
10995116318777|3
24189255846364|11
30786325646742|2
10995116337199|5
13194139581698|11
28587302332986|8
30786325587633|11
35184372142408|7
21990232583205|2
6597069770044|4
10995116296936|8
10995116315857|6
45456|12
24122|7
28587302350418|6
4398046549558|8
28587302333264|5
52758|5
35635|4
32985348835867|5
26388279089870|12
30786325607976|5
32985348858099|11
21990232588197|5
6597069772168|6
26388279109953|12
4398046522736|9
15393162820127|4
2199023323070|2
21990232582729|11
32985348893761|4
26388279107654|10
17592186111867|11
2199023305628|5
28587302367410|5
4398046553558|1
21990232563324|10
19791209347420|2
26388279135049|8
10995116317177|1
4398046570852|2
30786325588827|9
13194139549122|4
32985348877009|1
19791209364936|2
30786325605455|3
4398046548734|12
30786325650425|3
8796093037532|2
28587302358665|3
28587302385507|5
26388279136178|4
28587302334289|8
24189255841714|6
8796093060790|7
30786325644257|9
4398046514819|8
13194139543447|1
15393162803125|2
19791209305428|8
24189255841153|7
35184372117528|3
32985348836419|11
26388279119039|8
19791209353021|7
19791209370935|7
21990232559882|11
26388279077851|9
45006|9
15393162852387|9
13194139565394|7
28587302373999|6
4398046531518|7
13194139546012|11
6597069768646|7
15393162826018|2
8796093034911|4
32985348856127|10
8796093043893|3
2199023292039|3
19791209365475|3
2199023288245|10
30786325602099|10
24189255849945|11
4398046550495|8
4398046535784|10
19791209342116|3
28587302335530|8
32985348864506|6
15393162806088|9
10995116282597|11
